"","county","year","crimerate","arrest","conviction","prison","sentence","police","popdensity","taxrevenue","region","urban","minority","mix","youngmale","wage","policelag1","policelag2","policelag3","policelag4","policelag5","policelag6"
"1","1","81",0.0398849,0.289696,0.402062,0.472222,5.61,0.0017868,2.307159,25.69763,"central","no",20.2187,0.0999179,0.0876968,257.4241,NA,NA,NA,NA,NA,NA
"2","1","82",0.0383449,0.338111,0.433005,0.506993,5.59,0.0017666,2.330254,24.87425,"central","no",20.2187,0.1030491,0.0863767,272.749722222222,0.0017868,NA,NA,NA,NA,NA
"3","1","83",0.0303048,0.330449,0.525703,0.479705,5.8,0.0018358,2.341801,26.45144,"central","no",20.2187,0.0806787,0.0850909,396.537677777778,0.0017666,0.0017868,NA,NA,NA,NA
"4","1","84",0.0347259,0.362525,0.604706,0.520104,6.89,0.0018859,2.34642,26.84235,"central","no",20.2187,0.0785035,0.0838333,299.1779,0.0018358,0.0017666,0.0017868,NA,NA,NA
"5","1","85",0.036573,0.325395,0.578723,0.497059,6.55,0.0019244,2.364896,28.14034,"central","no",20.2187,0.0932486,0.0823065,312.545411111111,0.0018859,0.0018358,0.0017666,0.0017868,NA,NA
"6","1","86",0.0347524,0.326062,0.512324,0.439863,6.9,0.0018952,2.385681,29.74098,"central","no",20.2187,0.0973228,0.0800806,324.489333333333,0.0019244,0.0018859,0.0018358,0.0017666,0.0017868,NA
"7","1","87",0.0356036,0.29827,0.527596,0.43617,6.71,0.0018279,2.422633,30.99368,"central","no",20.2187,0.0801688,0.077871,339.432244444444,0.0018952,0.0019244,0.0018859,0.0018358,0.0017666,0.0017868
"8","3","81",0.0163921,0.202899,0.869048,0.465753,8.45,0.0005939,0.976834,14.56088,"central","no",7.91632,0.0561224,0.0870046,231.073033333333,NA,NA,NA,NA,NA,NA
"9","3","82",0.0190651,0.162218,0.772152,0.377049,5.71,0.0007047,0.992278,35.64073,"central","no",7.91632,0.0473118,0.0864722,257.874444444444,0.0005939,NA,NA,NA,NA,NA
"10","3","83",0.0151492,0.181586,1.02817,0.438356,8.69,0.0006587,1.003861,19.26188,"central","no",7.91632,0.0596206,0.0859426,281.568111111111,0.0007047,0.0005939,NA,NA,NA,NA
"11","3","84",0.0136621,0.194986,0.885714,0.5,8.01,0.0006089,1.015444,21.39557,"central","no",7.91632,0.058997,0.0854993,264.011144444444,0.0006587,0.0007047,0.0005939,NA,NA,NA
"12","3","85",0.0120346,0.206897,0.909091,0.366667,8.59,0.0006413,1.030888,24.03637,"central","no",7.91632,0.085034,0.084861,510.359022222222,0.0006089,0.0006587,0.0007047,0.0005939,NA,NA
"13","3","86",0.0129982,0.156069,1.03704,0.392857,6.03,0.0006762,1.034749,26.59959,"central","no",7.91632,0.0516717,0.083637,284.785233333333,0.0006413,0.0006089,0.0006587,0.0007047,0.0005939,NA
"14","3","87",0.0152532,0.132029,1.48148,0.45,6.35,0.0007459,1.046332,26.89208,"central","no",7.91632,0.0302267,0.0826069,294.764333333333,0.0006762,0.0006413,0.0006089,0.0006587,0.0007047,0.0005939
"15","5","81",0.0093372,0.406593,0.27027,0.5,5.53,0.0008209,0.4127659,18.6306,"west","no",3.16053,0.0833333,0.0738525,204.044533333333,NA,NA,NA,NA,NA,NA
"16","5","82",0.0123229,0.38,0.736842,0.392857,9.7,0.0013555,0.4170213,19.52253,"west","no",3.16053,0.0204082,0.0737947,216.418866666667,0.0008209,NA,NA,NA,NA,NA
"17","5","83",0.0128064,0.561905,0.559322,0.272727,6.34,0.0013416,0.4170213,19.24335,"west","no",3.16053,0.3125,0.0738741,419.642511111111,0.0013555,0.0008209,NA,NA,NA,NA
"18","5","84",0.0138299,0.666667,0.447368,0.411765,5.72,0.0013345,0.4170213,24.15392,"west","no",3.16053,0.1632653,0.0738631,230.241822222222,0.0013416,0.0013555,0.0008209,NA,NA,NA
"19","5","85",0.0124753,0.60396,0.180328,0.545455,10.04,0.0014822,0.4127659,27.50368,"west","no",3.16053,0.278481,0.073643,239.363011111111,0.0013345,0.0013416,0.0013555,0.0008209,NA,NA
"20","5","86",0.0142385,0.695652,0.270833,0.269231,5.12,0.001135,0.4127659,43.60622,"west","no",3.16053,0.4081633,0.072817,270.431133333333,0.0014822,0.0013345,0.0013416,0.0013555,0.0008209,NA
"21","5","87",0.0129603,0.444444,0.267857,0.6,6.76,0.0012343,0.4127659,34.81605,"west","no",3.16053,0.4651163,0.0721154,283.738622222222,0.001135,0.0014822,0.0013345,0.0013416,0.0013555,0.0008209
"22","7","81",0.0219159,0.431095,0.627049,0.431373,6,0.0014327,0.4821764,38.24473,"central","no",47.9161,0.3286385,0.0836378,240.047533333333,NA,NA,NA,NA,NA,NA
"23","7","82",0.0173807,0.612335,0.582734,0.37037,6.11,0.0014165,0.4878049,55.98516,"central","no",47.9161,0.2472527,0.0821775,255.570788888889,0.0014327,NA,NA,NA,NA,NA
"24","7","83",0.024211,0.419405,0.787313,0.236967,6.37,0.0014398,0.489681,44.00379,"central","no",47.9161,0.2079395,0.0806452,288.908711111111,0.0014165,0.0014327,NA,NA,NA,NA
"25","7","84",0.0223434,0.412458,0.497959,0.442623,8.77,0.0015046,0.4915572,39.47325,"central","no",47.9161,0.2375,0.07906,277.077044444444,0.0014398,0.0014165,0.0014327,NA,NA,NA
"26","7","85",0.0245848,0.380655,0.381148,0.483871,11.36,0.0015341,0.4934334,47.00904,"central","no",47.9161,0.2256214,0.0774562,286.421,0.0015046,0.0014398,0.0014165,0.0014327,NA,NA
"27","7","86",0.0241281,0.308057,0.615385,0.483333,8.94,0.0014103,0.4934334,38.90763,"central","no",47.9161,0.3298319,0.0754904,304.680322222222,0.0015341,0.0015046,0.0014398,0.0014165,0.0014327,NA
"28","7","87",0.0267532,0.36476,0.525424,0.435484,7.14,0.0015299,0.4915572,42.94759,"central","no",47.9161,0.273622,0.0735373,313.681455555556,0.0014103,0.0015341,0.0015046,0.0014398,0.0014165,0.0014327
"29","9","81",0.0075178,0.631579,0.555556,0.383333,7.04,0.0008353,0.5305164,16.85321,"west","no",1.79619,0.089172,0.079058,215.792822222222,NA,NA,NA,NA,NA,NA
"30","9","82",0.0087368,0.567164,0.640351,0.356164,9.95,0.0007389,0.5352113,17.20366,"west","no",1.79619,0.369863,0.0778554,218.8694,0.0008353,NA,NA,NA,NA,NA
"31","9","83",0.0136804,0.377358,0.525,0.428571,7.16,0.0008604,0.5399061,17.97514,"west","no",1.79619,0.0853242,0.076492,323.717144444444,0.0007389,0.0008353,NA,NA,NA,NA
"32","9","84",0.0143262,0.41018,0.664234,0.395604,10.6,0.0009007,0.544601,22.24659,"west","no",1.79619,0.0844156,0.0752818,255.676744444444,0.0008604,0.0007389,0.0008353,NA,NA,NA
"33","9","85",0.0133173,0.393548,0.622951,0.407895,9.23,0.0009021,0.5492958,25.17329,"west","no",1.79619,0.0915493,0.0739364,276.256288888889,0.0009007,0.0008604,0.0007389,0.0008353,NA,NA
"34","9","86",0.0114417,0.462687,0.596774,0.445946,6.73,0.0008539,0.544601,27.28459,"west","no",1.79619,0.0634921,0.0723177,288.113422222222,0.0009021,0.0009007,0.0008604,0.0007389,0.0008353,NA
"35","9","87",0.0106232,0.518219,0.476563,0.442623,8.22,0.0008602,0.5469484,28.05474,"west","no",1.79619,0.0600858,0.0706976,306.581955555556,0.0008539,0.0009021,0.0009007,0.0008604,0.0007389,0.0008353
"36","11","81",0.0188472,0.36965,0.557895,0.226415,9.93,0.0019067,0.5910931,22.32144,"west","no",1.5407,0.1843318,0.1063334,214.217522222222,NA,NA,NA,NA,NA,NA
"37","11","82",0.0198536,0.425856,0.196429,0.363636,4.32,0.0013588,0.5951417,22.88071,"west","no",1.5407,0.276699,0.1049686,226.119366666667,0.0019067,NA,NA,NA,NA,NA
"38","11","83",0.0191668,0.354244,0.354167,0.323529,13.44,0.0019803,0.5991903,24.6518,"west","no",1.5407,0.1152263,0.1038029,296.978411111111,0.0013588,0.0019067,NA,NA,NA,NA
"39","11","84",0.0168042,0.446429,0.21,0.380952,7.16,0.0025506,0.6072875,29.73097,"west","no",1.5407,0.0516432,0.1024648,250.044033333333,0.0019803,0.0013588,0.0019067,NA,NA,NA
"40","11","85",0.0141194,0.530806,0.455357,0.27451,7.85,0.0024759,0.6072875,31.62309,"west","no",1.5407,0.2634731,0.1012548,267.073533333333,0.0025506,0.0019803,0.0013588,0.0019067,NA,NA
"41","11","86",0.0170081,0.401544,0.211538,0.363636,13.87,0.0028238,0.6072875,33.68633,"west","no",1.5407,0.295,0.0999467,268.612477777778,0.0024759,0.0025506,0.0019803,0.0013588,0.0019067,NA
"42","11","87",0.0146067,0.524664,0.0683761,0.5,13,0.002882,0.6113361,35.22974,"west","no",1.5407,0.3195266,0.0989192,287.365511111111,0.0028238,0.0024759,0.0025506,0.0019803,0.0013588,0.0019067
"43","13","81",0.0300493,0.319665,0.481675,0.5,11.77,0.001207,0.4975787,20.10284,"other","no",32.1794,0.1796644,0.0793392,232.1397,NA,NA,NA,NA,NA,NA
"44","13","82",0.0363259,0.332885,0.430303,0.497653,5.32,0.0013436,0.5048426,22.52288,"other","no",32.1794,0.13772,0.0779813,243.2692,0.001207,NA,NA,NA,NA,NA
"45","13","83",0.0325271,0.326021,0.491879,0.485849,6.97,0.0014763,0.5096852,24.6816,"other","no",32.1794,0.1241497,0.0765449,356.712722222222,0.0013436,0.001207,NA,NA,NA,NA
"46","13","84",0.0301272,0.302176,0.522667,0.423469,8.89,0.0012138,0.5145279,27.70227,"other","no",32.1794,0.1587302,0.0751876,268.361933333333,0.0014763,0.0013436,0.001207,NA,NA,NA
"47","13","85",0.0349786,0.298962,0.381944,0.454545,7.32,0.0013556,0.5242131,29.29789,"other","no",32.1794,0.0980243,0.0738005,283.204,0.0012138,0.0014763,0.0013436,0.001207,NA,NA
"48","13","86",0.033536,0.309206,0.522727,0.430435,10.8,0.0012726,0.5169492,29.72961,"other","no",32.1794,0.13749,0.072228,305.885833333333,0.0013556,0.0012138,0.0014763,0.0013436,0.001207,NA
"49","13","87",0.0296409,0.365004,0.520607,0.420833,10.55,0.0013377,0.5169492,30.69649,"other","no",32.1794,0.1523723,0.0707334,307.488377777778,0.0012726,0.0013556,0.0012138,0.0014763,0.0013436,0.001207
"50","15","81",0.0168055,0.453258,0.575,0.48913,8.83,0.0009521,0.3009986,21.63124,"other","no",61.054,0.2473498,0.0905428,208.8441,NA,NA,NA,NA,NA,NA
"51","15","82",0.0200047,0.444706,0.37037,0.442857,9.48,0.0008473,0.3024251,23.05781,"other","no",61.054,0.303681,0.087408,223.079877777778,0.0009521,NA,NA,NA,NA,NA
"52","15","83",0.0142092,0.383607,0.820513,0.604167,10.95,0.0008852,0.3052782,25.77474,"other","no",61.054,0.2055336,0.0842081,447.683811111111,0.0008473,0.0009521,NA,NA,NA,NA
"53","15","84",0.016346,0.345714,0.487603,0.457627,7.52,0.0009341,0.3038516,26.60553,"other","no",61.054,0.1864407,0.0810798,249.706166666667,0.0008852,0.0008473,0.0009521,NA,NA,NA
"54","15","85",0.0160135,0.423977,0.565517,0.47561,16.68,0.0008896,0.3052782,67.58157,"other","no",61.054,0.2857143,0.0782715,267.169455555556,0.0009341,0.0008852,0.0008473,0.0009521,NA,NA
